goal_id,user_id,goal_name,goal_category,target_amount,current_savings,deadline_months,monthly_required,priority,status
GOAL00060,USR00977,Festival Shopping Fund,lifestyle,78000,14500,3,21166.67,Low,active
GOAL00061,USR00941,Emergency Fund,savings,359000,131000,15,15200.0,Medium,active
GOAL00062,USR00501,Emergency Fund,savings,463000,79000,22,17454.55,High,active
GOAL00063,USR00372,Startup Capital,business,2005000,271500,36,48152.78,Low,active
GOAL00064,USR00827,Wedding Fund,lifestyle,1361000,225500,24,47312.5,High,active
GOAL00065,USR00247,Startup Capital,business,3469000,156000,52,63711.54,Medium,active
GOAL00066,USR00081,House Down Payment,property,2903000,1239500,35,47528.57,Medium,active
GOAL00067,USR00836,House Down Payment,property,3135000,729500,100,24055.0,Low,active
GOAL00068,USR00546,Festival Shopping Fund,lifestyle,64000,24500,2,19750.0,High,active
GOAL00069,USR00676,Gadget / Laptop,technology,16000,3000,7,1857.14,Low,active
GOAL00070,USR00170,Wedding Fund,lifestyle,548000,501000,20,2350.0,Medium,active
GOAL00071,USR00622,Retirement Corpus,retirement,13902000,10369000,223,15843.05,Low,active
GOAL00072,USR00952,Stock Market Portfolio,investment,1423000,501000,6,153666.67,Medium,active
GOAL00073,USR00707,International Vacation,travel,1136000,175000,3,320333.33,Medium,active
GOAL00074,USR00409,Child Education Fund,education,2865000,864500,161,12425.47,Medium,active
GOAL00075,USR00449,Startup Capital,business,1357000,545000,33,24606.06,Medium,active
GOAL00076,USR00124,International Vacation,travel,242000,157500,5,16900.0,High,active
GOAL00077,USR00347,Emergency Fund,savings,206000,42000,11,14909.09,Medium,active
GOAL00078,USR00236,Home Renovation,property,1258000,845000,31,13322.58,High,active
GOAL00079,USR00073,Bike Purchase,vehicle,81000,33000,11,4363.64,Medium,active
GOAL00080,USR00235,House Down Payment,property,1734000,192000,95,16231.58,Low,active
GOAL00081,USR00881,Higher Education,education,591000,430500,14,11464.29,High,active
GOAL00082,USR00244,Wedding Fund,lifestyle,109000,30500,24,3270.83,Medium,active
GOAL00083,USR00220,Stock Market Portfolio,investment,716000,306000,32,12812.5,High,active
GOAL00084,USR00958,Startup Capital,business,2587000,521000,39,52974.36,Medium,active
GOAL00085,USR00485,International Vacation,travel,334000,212500,16,7593.75,Medium,active
GOAL00086,USR00827,Retirement Corpus,retirement,8607000,2818500,202,28655.94,High,active
GOAL00087,USR00100,Child Education Fund,education,734000,94500,172,3718.02,Medium,active
GOAL00088,USR00434,Retirement Corpus,retirement,2738000,451000,236,9690.68,Medium,active
GOAL00089,USR00747,Emergency Fund,savings,586000,240000,17,20352.94,Medium,active
GOAL00090,USR00662,House Down Payment,property,1600000,537000,54,19685.19,High,active
GOAL00091,USR00746,Higher Education,education,496000,125500,38,9750.0,Low,active
GOAL00092,USR00112,International Vacation,travel,163000,62000,10,10100.0,High,active
GOAL00093,USR00550,Gadget / Laptop,technology,220000,118000,6,17000.0,High,active
GOAL00094,USR00188,Wedding Fund,lifestyle,2764000,1849000,11,83181.82,Medium,active
GOAL00095,USR00896,Startup Capital,business,742000,571500,36,4736.11,High,active
GOAL00096,USR00828,Medical Insurance Fund,healthcare,436000,112000,23,14086.96,Low,active
GOAL00097,USR00101,Emergency Fund,savings,285000,23500,14,18678.57,Medium,active
GOAL00098,USR00554,Medical Insurance Fund,healthcare,25000,9000,6,2666.67,High,active
GOAL00099,USR00096,Startup Capital,business,1526000,624500,52,17336.54,Medium,active
GOAL00100,USR00243,New Car Purchase,vehicle,5335000,1652000,48,76729.17,Medium,active
GOAL00101,USR00493,International Vacation,travel,55000,13500,13,3192.31,Low,active
GOAL00102,USR00925,Emergency Fund,savings,157000,36500,14,8607.14,High,active
GOAL00103,USR00003,Retirement Corpus,retirement,13825000,4691500,324,28189.81,High,active
GOAL00104,USR00803,Festival Shopping Fund,lifestyle,81000,32000,2,24500.0,Medium,active
GOAL00105,USR00434,Bike Purchase,vehicle,81000,9500,15,4766.67,Low,active
GOAL00106,USR00803,Stock Market Portfolio,investment,536000,269000,21,12714.29,Medium,active
GOAL00107,USR00499,New Car Purchase,vehicle,564000,33500,32,16578.12,High,active
GOAL00108,USR00223,Emergency Fund,savings,169000,6000,11,14818.18,Medium,active
GOAL00109,USR00556,Emergency Fund,savings,466000,91000,15,25000.0,Medium,active
GOAL00110,USR00059,Emergency Fund,savings,780000,69500,18,39472.22,Medium,active
GOAL00111,USR00515,Startup Capital,business,1844000,1265500,19,30447.37,Low,active
GOAL00112,USR00162,Emergency Fund,savings,526000,80500,11,40500.0,Low,active
GOAL00113,USR00083,Medical Insurance Fund,healthcare,177000,47000,8,16250.0,High,active
GOAL00114,USR00610,House Down Payment,property,5236000,3901000,63,21190.48,Medium,active
GOAL00115,USR00241,Retirement Corpus,retirement,2962000,345500,339,7718.29,High,active
GOAL00116,USR00912,Home Renovation,property,505000,100500,26,15557.69,High,active
GOAL00117,USR00609,Emergency Fund,savings,577000,142000,23,18913.04,Medium,active
GOAL00118,USR00430,Child Education Fund,education,634000,34500,104,5764.42,Medium,active
GOAL00119,USR00536,Higher Education,education,476000,127000,37,9432.43,Low,active
GOAL00120,USR00210,Child Education Fund,education,1086000,342000,116,6413.79,Medium,active
GOAL00121,USR00245,Wedding Fund,lifestyle,409000,239500,29,5844.83,Medium,active
GOAL00122,USR00688,Child Education Fund,education,1935000,798500,87,13063.22,High,active
GOAL00123,USR00324,Startup Capital,business,1330000,107500,38,32171.05,Medium,active
GOAL00124,USR00075,Emergency Fund,savings,329000,114500,6,35750.0,Medium,active
GOAL00125,USR00577,House Down Payment,property,1284000,1103500,77,2344.16,High,active
GOAL00126,USR00219,Stock Market Portfolio,investment,169000,19000,15,10000.0,High,active
GOAL00127,USR00956,Higher Education,education,1542000,634500,12,75625.0,Low,active
GOAL00128,USR00901,International Vacation,travel,194000,117500,7,10928.57,Medium,active
GOAL00129,USR00162,Gadget / Laptop,technology,220000,41000,4,44750.0,Low,active
GOAL00130,USR00721,Wedding Fund,lifestyle,208000,4000,9,22666.67,Medium,active
GOAL00131,USR00827,Child Education Fund,education,951000,281500,177,3782.49,Medium,active
GOAL00132,USR00684,Medical Insurance Fund,healthcare,148000,96500,12,4291.67,Medium,active
GOAL00133,USR00955,Child Education Fund,education,319000,149000,59,2881.36,High,active
GOAL00134,USR00900,New Car Purchase,vehicle,756000,50500,31,22758.06,High,active
GOAL00135,USR00912,House Down Payment,property,3558000,2710500,74,11452.7,Medium,active
GOAL00136,USR00160,Wedding Fund,lifestyle,502000,278000,13,17230.77,High,active
GOAL00137,USR00216,Bike Purchase,vehicle,122000,45000,5,15400.0,Medium,active
GOAL00138,USR00704,Child Education Fund,education,1028000,866500,47,3436.17,Low,active
GOAL00139,USR00518,Gadget / Laptop,technology,141000,2500,3,46166.67,High,active
GOAL00140,USR00930,Medical Insurance Fund,healthcare,168000,38500,15,8633.33,High,active
GOAL00141,USR00650,Retirement Corpus,retirement,6176000,4650000,350,4360.0,Low,active
GOAL00142,USR00046,Emergency Fund,savings,651000,200500,16,28156.25,Medium,active
GOAL00143,USR00134,Child Education Fund,education,2933000,158000,158,17563.29,Low,active
GOAL00144,USR00166,Bike Purchase,vehicle,331000,190000,3,47000.0,Medium,active
GOAL00145,USR00723,Retirement Corpus,retirement,5798000,633000,292,17688.36,Medium,active
GOAL00146,USR00115,House Down Payment,property,2354000,464000,37,51081.08,Low,active
GOAL00147,USR00708,Startup Capital,business,670000,190000,16,30000.0,High,active
GOAL00148,USR00037,Medical Insurance Fund,healthcare,207000,150000,21,2714.29,Medium,active
GOAL00149,USR00566,New Car Purchase,vehicle,240000,153000,19,4578.95,Medium,active
GOAL00150,USR00043,Wedding Fund,lifestyle,539000,134000,12,33750.0,Medium,active
GOAL00151,USR00956,Festival Shopping Fund,lifestyle,85000,37000,1,48000.0,Low,active
GOAL00152,USR00041,Startup Capital,business,1153000,263500,32,27796.88,Medium,active
GOAL00153,USR00699,International Vacation,travel,100000,37500,8,7812.5,Medium,active
GOAL00154,USR00363,Festival Shopping Fund,lifestyle,33000,10500,5,4500.0,Medium,active
GOAL00155,USR00896,Retirement Corpus,retirement,4198000,2705500,220,6784.09,Low,active
GOAL00156,USR00768,New Car Purchase,vehicle,943000,102500,49,17153.06,Low,active
GOAL00157,USR00243,Medical Insurance Fund,healthcare,673000,401500,23,11804.35,High,active
GOAL00158,USR00820,Festival Shopping Fund,lifestyle,61000,20500,2,20250.0,High,active
GOAL00159,USR00423,Emergency Fund,savings,341000,105000,7,33714.29,High,active
GOAL00160,USR00947,Higher Education,education,3484000,463500,19,158973.68,Medium,active
GOAL00161,USR00422,Festival Shopping Fund,lifestyle,33000,3500,3,9833.33,Medium,active
GOAL00162,USR00753,Festival Shopping Fund,lifestyle,34000,4000,2,15000.0,High,active
GOAL00163,USR00164,Festival Shopping Fund,lifestyle,6000,1500,2,2250.0,Medium,active
GOAL00164,USR00392,Medical Insurance Fund,healthcare,495000,103500,8,48937.5,High,active
GOAL00165,USR00482,International Vacation,travel,74000,13500,6,10083.33,High,active
GOAL00166,USR00941,Gadget / Laptop,technology,77000,49500,7,3928.57,Medium,active
GOAL00167,USR00841,Festival Shopping Fund,lifestyle,5000,500,5,900.0,Low,active
GOAL00168,USR00229,Emergency Fund,savings,388000,97500,13,22346.15,Medium,active
GOAL00169,USR00409,Higher Education,education,473000,136000,35,9628.57,High,active
GOAL00170,USR00072,Festival Shopping Fund,lifestyle,12000,500,3,3833.33,High,active
GOAL00171,USR00657,Stock Market Portfolio,investment,170000,59500,7,15785.71,Medium,active
GOAL00172,USR00864,Stock Market Portfolio,investment,724000,271000,34,13323.53,Medium,active
GOAL00173,USR00029,House Down Payment,property,10209000,5271500,32,154296.88,Low,active
GOAL00174,USR00268,New Car Purchase,vehicle,2462000,1114500,35,38500.0,Medium,active
GOAL00175,USR00272,Emergency Fund,savings,566000,179000,7,55285.71,High,active
GOAL00176,USR00445,Higher Education,education,588000,19000,28,20321.43,Medium,active
GOAL00177,USR00322,Retirement Corpus,retirement,3986000,846000,339,9262.54,Medium,active
GOAL00178,USR00524,House Down Payment,property,1690000,583500,56,19758.93,Medium,active
GOAL00179,USR00591,International Vacation,travel,134000,21500,7,16071.43,High,active
GOAL00180,USR00726,Retirement Corpus,retirement,31476000,16192500,144,106135.42,High,active
GOAL00181,USR00948,Festival Shopping Fund,lifestyle,87000,4500,2,41250.0,Medium,active
GOAL00182,USR00737,Bike Purchase,vehicle,273000,98000,12,14583.33,Medium,active
GOAL00183,USR00202,Higher Education,education,1718000,857500,38,22644.74,Medium,active
GOAL00184,USR00972,Child Education Fund,education,3012000,1919000,140,7807.14,Low,active
GOAL00185,USR00639,Higher Education,education,888000,300000,33,17818.18,Medium,active
GOAL00186,USR00128,Bike Purchase,vehicle,243000,92000,10,15100.0,Low,active
GOAL00187,USR00520,Wedding Fund,lifestyle,3646000,799500,27,105425.93,Medium,active
GOAL00188,USR00335,Retirement Corpus,retirement,14689000,1710000,258,50306.2,Medium,active
GOAL00189,USR00568,New Car Purchase,vehicle,981000,310500,25,26820.0,High,active
GOAL00190,USR00681,Retirement Corpus,retirement,21682000,4993000,145,115096.55,Medium,active
GOAL00191,USR00925,New Car Purchase,vehicle,338000,95500,46,5271.74,Medium,active
GOAL00192,USR00309,Retirement Corpus,retirement,2587000,984500,352,4552.56,Medium,active
GOAL00193,USR00001,Wedding Fund,lifestyle,1374000,777500,31,19241.94,High,active
GOAL00194,USR00441,Festival Shopping Fund,lifestyle,119000,41500,3,25833.33,Medium,active
GOAL00195,USR00671,Higher Education,education,1889000,978000,20,45550.0,Medium,active
GOAL00196,USR00453,Child Education Fund,education,1588000,554000,142,7281.69,High,active
GOAL00197,USR00485,Festival Shopping Fund,lifestyle,111000,35500,2,37750.0,Low,active
GOAL00198,USR00816,Bike Purchase,vehicle,187000,87500,15,6633.33,High,active
GOAL00199,USR00087,Wedding Fund,lifestyle,2272000,451000,14,130071.43,Medium,active
GOAL00200,USR00649,Home Renovation,property,67000,25000,11,3818.18,Medium,active
GOAL00201,USR00839,Festival Shopping Fund,lifestyle,34000,17500,4,4125.0,High,active
GOAL00202,USR00318,International Vacation,travel,48000,10000,15,2533.33,Low,active
GOAL00203,USR00151,Emergency Fund,savings,989000,443000,8,68250.0,High,active
GOAL00204,USR00487,Home Renovation,property,2094000,524500,35,44842.86,Low,active
GOAL00205,USR00075,Gadget / Laptop,technology,47000,35000,5,2400.0,Medium,active
GOAL00206,USR00645,Home Renovation,property,834000,310000,15,34933.33,High,active
GOAL00207,USR00714,Retirement Corpus,retirement,3987000,1344000,213,12408.45,Medium,active
GOAL00208,USR00250,New Car Purchase,vehicle,257000,167500,14,6392.86,Medium,active
GOAL00209,USR00006,Startup Capital,business,4380000,840500,38,93144.74,Medium,active
GOAL00210,USR00789,Startup Capital,business,3221000,1002000,37,59972.97,High,active
GOAL00211,USR00436,International Vacation,travel,197000,28500,9,18722.22,High,active
GOAL00212,USR00981,Bike Purchase,vehicle,76000,35500,6,6750.0,Medium,active
GOAL00213,USR00052,Stock Market Portfolio,investment,44000,19000,35,714.29,High,active
GOAL00214,USR00869,House Down Payment,property,10703000,956000,86,113337.21,Medium,active
GOAL00215,USR00821,Gadget / Laptop,technology,64000,4000,1,60000.0,Medium,active
GOAL00216,USR00573,Home Renovation,property,98000,10500,22,3977.27,Medium,active
GOAL00217,USR00774,Startup Capital,business,10187000,1387500,16,549968.75,Medium,active
GOAL00218,USR00835,Bike Purchase,vehicle,23000,8500,15,966.67,Low,active
GOAL00219,USR00437,Medical Insurance Fund,healthcare,145000,57500,15,5833.33,Low,active
GOAL00220,USR00457,Startup Capital,business,860000,96000,54,14148.15,High,active
GOAL00221,USR00883,Gadget / Laptop,technology,50000,38500,4,2875.0,Medium,active
GOAL00222,USR00770,International Vacation,travel,53000,20000,13,2538.46,Low,active
GOAL00223,USR00284,Festival Shopping Fund,lifestyle,18000,7500,3,3500.0,Medium,active
GOAL00224,USR00497,Child Education Fund,education,3463000,35500,79,43386.08,High,active
GOAL00225,USR00451,House Down Payment,property,2187000,542000,43,38255.81,Medium,active
GOAL00226,USR00241,Wedding Fund,lifestyle,272000,135500,31,4403.23,Medium,active
GOAL00227,USR00915,Stock Market Portfolio,investment,342000,35500,33,9287.88,High,active
GOAL00228,USR00155,International Vacation,travel,41000,9500,5,6300.0,Medium,active
GOAL00229,USR00157,Bike Purchase,vehicle,159000,73000,3,28666.67,High,active
GOAL00230,USR00425,Retirement Corpus,retirement,1606000,171000,236,6080.51,Medium,active
GOAL00231,USR00478,Retirement Corpus,retirement,29881000,13840500,175,91660.0,High,active
GOAL00232,USR00853,Retirement Corpus,retirement,7084000,3375000,198,18732.32,Medium,active
GOAL00233,USR00789,Home Renovation,property,583000,246000,29,11620.69,Low,active
GOAL00234,USR00021,Medical Insurance Fund,healthcare,79000,19500,14,4250.0,Low,active
GOAL00235,USR00590,Retirement Corpus,retirement,15965000,2545500,336,39938.99,Medium,active
GOAL00236,USR00966,Higher Education,education,264000,223000,32,1281.25,High,active
GOAL00237,USR00400,Medical Insurance Fund,healthcare,120000,3500,14,8321.43,Low,active
GOAL00238,USR00856,Retirement Corpus,retirement,21160000,12907500,295,27974.58,Medium,active
GOAL00239,USR00753,Stock Market Portfolio,investment,1500000,448000,8,131500.0,Medium,active
GOAL00240,USR00920,International Vacation,travel,273000,238000,17,2058.82,Medium,active
GOAL00241,USR00280,Retirement Corpus,retirement,12093000,1992000,340,29708.82,Medium,active
GOAL00242,USR00399,Higher Education,education,458000,204000,25,10160.0,Medium,active
GOAL00243,USR00818,Retirement Corpus,retirement,4723000,783000,190,20736.84,Medium,active
GOAL00244,USR00861,Gadget / Laptop,technology,8000,6000,8,250.0,Low,active
GOAL00245,USR00638,Stock Market Portfolio,investment,136000,13500,20,6125.0,High,active
GOAL00246,USR00404,Home Renovation,property,439000,65000,16,23375.0,Medium,active
GOAL00247,USR00028,House Down Payment,property,4673000,2643500,36,56375.0,Medium,active
GOAL00248,USR00139,Medical Insurance Fund,healthcare,18000,3000,12,1250.0,Medium,active
GOAL00249,USR00052,Wedding Fund,lifestyle,333000,103500,28,8196.43,Medium,active
GOAL00250,USR00217,Gadget / Laptop,technology,193000,52000,10,14100.0,Medium,active
GOAL00251,USR00780,Startup Capital,business,968000,384500,25,23340.0,Medium,active
GOAL00252,USR00771,Medical Insurance Fund,healthcare,243000,90500,9,16944.44,Medium,active
GOAL00253,USR00855,House Down Payment,property,2060000,723500,84,15910.71,Medium,active
GOAL00254,USR00768,Stock Market Portfolio,investment,640000,373000,9,29666.67,High,active
GOAL00255,USR00975,Higher Education,education,102000,49500,19,2763.16,High,active
GOAL00256,USR00071,Festival Shopping Fund,lifestyle,15000,7500,2,3750.0,Low,active
GOAL00257,USR00042,Festival Shopping Fund,lifestyle,85000,42500,5,8500.0,High,active
GOAL00258,USR00254,International Vacation,travel,43000,14500,6,4750.0,Low,active
GOAL00259,USR00637,New Car Purchase,vehicle,3136000,1135000,24,83375.0,High,active
GOAL00260,USR00485,Child Education Fund,education,5700000,3849500,107,17294.39,High,active
GOAL00261,USR00971,International Vacation,travel,605000,204500,12,33375.0,Medium,active
GOAL00262,USR00263,Festival Shopping Fund,lifestyle,9000,2000,5,1400.0,Medium,active
GOAL00263,USR00621,Home Renovation,property,526000,198000,33,9939.39,Low,active
GOAL00264,USR00736,House Down Payment,property,2790000,2417000,40,9325.0,Medium,active
GOAL00265,USR00168,Wedding Fund,lifestyle,2002000,434500,33,47500.0,High,active
GOAL00266,USR00027,Startup Capital,business,1381000,1006500,32,11703.12,Medium,active
GOAL00267,USR00694,Startup Capital,business,1453000,222000,50,24620.0,Low,active
GOAL00268,USR00407,Bike Purchase,vehicle,105000,29000,15,5066.67,High,active
GOAL00269,USR00607,Bike Purchase,vehicle,58000,22500,13,2730.77,Low,active
GOAL00270,USR00249,House Down Payment,property,541000,36000,59,8559.32,Medium,active
GOAL00271,USR00309,Medical Insurance Fund,healthcare,32000,10000,5,4400.0,Medium,active
GOAL00272,USR00825,House Down Payment,property,561000,206000,95,3736.84,Medium,active
GOAL00273,USR00580,Festival Shopping Fund,lifestyle,82000,5500,4,19125.0,High,active
GOAL00274,USR00546,Retirement Corpus,retirement,7387000,1655000,167,34323.35,Medium,active
GOAL00275,USR00071,Stock Market Portfolio,investment,202000,107500,23,4108.7,Medium,active
GOAL00276,USR00013,Medical Insurance Fund,healthcare,65000,19500,18,2527.78,Medium,active
GOAL00277,USR00502,House Down Payment,property,12327000,3255500,40,226787.5,Medium,active
GOAL00278,USR00371,Child Education Fund,education,2398000,173500,72,30895.83,Low,active
GOAL00279,USR00471,Bike Purchase,vehicle,606000,62000,3,181333.33,High,active
GOAL00280,USR00181,Bike Purchase,vehicle,150000,80000,16,4375.0,Medium,active
GOAL00281,USR00667,Wedding Fund,lifestyle,477000,269000,20,10400.0,Medium,active
GOAL00282,USR00942,Stock Market Portfolio,investment,193000,116500,18,4250.0,Medium,active
GOAL00283,USR00477,Retirement Corpus,retirement,9438000,1940000,108,69425.93,Low,active
GOAL00284,USR00607,Wedding Fund,lifestyle,206000,26000,15,12000.0,Medium,active
GOAL00285,USR00252,Medical Insurance Fund,healthcare,199000,62500,16,8531.25,Low,active
GOAL00286,USR00286,Startup Capital,business,597000,312000,57,5000.0,Medium,active
GOAL00287,USR00769,Gadget / Laptop,technology,124000,32000,11,8363.64,Medium,active
GOAL00288,USR00685,Retirement Corpus,retirement,26047000,1628500,304,80324.01,Medium,active
GOAL00289,USR00507,Medical Insurance Fund,healthcare,171000,9000,18,9000.0,Medium,active
GOAL00290,USR00500,International Vacation,travel,57000,25500,15,2100.0,Medium,active
GOAL00291,USR00265,Higher Education,education,2202000,39000,24,90125.0,High,active
GOAL00292,USR00611,Bike Purchase,vehicle,125000,14000,14,7928.57,Low,active
GOAL00293,USR00570,Emergency Fund,savings,191000,101000,17,5294.12,Medium,active
GOAL00294,USR00196,House Down Payment,property,2309000,1359500,62,15314.52,High,active
GOAL00295,USR00417,Gadget / Laptop,technology,95000,21500,3,24500.0,Medium,active
GOAL00296,USR00247,Bike Purchase,vehicle,108000,27500,14,5750.0,Medium,active
GOAL00297,USR00729,Gadget / Laptop,technology,199000,31500,7,23928.57,Medium,active
GOAL00298,USR00018,House Down Payment,property,6866000,5395000,62,23725.81,High,active
GOAL00299,USR00415,Bike Purchase,vehicle,38000,3000,15,2333.33,High,active
GOAL00300,USR00680,Home Renovation,property,1534000,577500,32,29890.62,Medium,active
GOAL00301,USR00567,Stock Market Portfolio,investment,1502000,714000,35,22514.29,Medium,active
GOAL00302,USR00764,Stock Market Portfolio,investment,730000,142000,28,21000.0,Medium,active
GOAL00303,USR00720,Gadget / Laptop,technology,50000,30000,11,1818.18,High,active
GOAL00304,USR00258,International Vacation,travel,194000,55000,16,8687.5,High,active
GOAL00305,USR00198,Higher Education,education,588000,100500,26,18750.0,High,active
GOAL00306,USR00549,Festival Shopping Fund,lifestyle,54000,22000,2,16000.0,Medium,active
GOAL00307,USR00197,International Vacation,travel,234000,159500,10,7450.0,Medium,active
GOAL00308,USR00284,Bike Purchase,vehicle,159000,60000,16,6187.5,Medium,active
GOAL00309,USR00779,Stock Market Portfolio,investment,273000,66000,24,8625.0,Medium,active
GOAL00310,USR00103,Medical Insurance Fund,healthcare,254000,188000,13,5076.92,High,active
GOAL00311,USR00233,Higher Education,education,1880000,226500,38,43513.16,High,active
GOAL00312,USR00015,Bike Purchase,vehicle,55000,23000,16,2000.0,Medium,active
GOAL00313,USR00281,Emergency Fund,savings,212000,127000,22,3863.64,Low,active
GOAL00314,USR00567,Wedding Fund,lifestyle,4613000,660500,21,188214.29,Medium,active
GOAL00315,USR00130,Child Education Fund,education,3246000,471000,50,55500.0,Low,active
GOAL00316,USR00503,House Down Payment,property,965000,27500,110,8522.73,Low,active
GOAL00317,USR00588,Wedding Fund,lifestyle,396000,79000,21,15095.24,Medium,active
GOAL00318,USR00452,Higher Education,education,2517000,836000,41,41000.0,High,active
GOAL00319,USR00053,Wedding Fund,lifestyle,3864000,731500,8,391562.5,Low,active
GOAL00320,USR00490,House Down Payment,property,16439000,2200500,40,355962.5,Low,active
GOAL00321,USR00411,Gadget / Laptop,technology,360000,207500,3,50833.33,High,active
GOAL00322,USR00645,Child Education Fund,education,7950000,2382500,71,78415.49,High,active
GOAL00323,USR00153,Festival Shopping Fund,lifestyle,29000,4000,5,5000.0,Medium,active
GOAL00324,USR00312,House Down Payment,property,4723000,905000,36,106055.56,Low,active
GOAL00325,USR00122,Stock Market Portfolio,investment,170000,40000,29,4482.76,Medium,active
